age,workclass,education,educational_num,marital_status,occupation,relationship,hours_per_week,native_country,income
46,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,38,United-States,>50K
56,Self-emp-not-inc,11th,7,Widowed,Other-service,Unmarried,50,United-States,<=50K
24,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,50,United-States,<=50K
23,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,40,United-States,<=50K
26,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,40,United-States,<=50K
65,?,HS-grad,9,Married-civ-spouse,?,Husband,40,United-States,<=50K
36,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
22,Private,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,50,Guatemala,<=50K
17,Private,10th,6,Never-married,Machine-op-inspct,Not-in-family,40,United-States,<=50K
20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,40,United-States,<=50K
65,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,50,United-States,>50K
44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,45,United-States,>50K
36,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,40,United-States,<=50K
29,Private,11th,7,Married-civ-spouse,Other-service,Husband,40,United-States,<=50K
20,State-gov,Some-college,10,Never-married,Farming-fishing,Own-child,32,United-States,<=50K
28,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,36,United-States,>50K
39,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,40,Mexico,<=50K
54,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,50,United-States,<=50K
52,Private,11th,7,Separated,Priv-house-serv,Not-in-family,18,United-States,<=50K
56,Self-emp-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,50,United-States,<=50K
18,Private,Some-college,10,Never-married,Other-service,Own-child,20,United-States,<=50K
39,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,40,United-States,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,24,United-States,<=50K
22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,60,United-States,>50K
38,Private,9th,5,Married-spouse-absent,Exec-managerial,Not-in-family,54,Mexico,<=50K
21,Private,Some-college,10,Never-married,Adm-clerical,Own-child,40,United-States,<=50K
63,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
34,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,50,United-States,>50K
42,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,50,United-States,>50K
33,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
30,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,50,United-States,<=50K
39,Private,Some-college,10,Divorced,Sales,Not-in-family,40,United-States,<=50K
26,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,40,United-States,<=50K
33,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,40,United-States,<=50K
47,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,40,United-States,<=50K
41,Private,Bachelors,13,Never-married,Other-service,Not-in-family,40,?,<=50K
41,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,60,United-States,>50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,20,United-States,<=50K
46,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,40,United-States,<=50K
43,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,48,United-States,<=50K
55,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,45,United-States,>50K
46,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,40,United-States,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,40,Mexico,<=50K
21,Private,Some-college,10,Separated,Handlers-cleaners,Not-in-family,40,United-States,<=50K
46,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,40,Dominican-Republic,<=50K
17,?,10th,6,Never-married,?,Own-child,40,United-States,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,50,United-States,<=50K
69,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,30,United-States,<=50K
50,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
20,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,40,United-States,<=50K
45,Self-emp-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,50,United-States,<=50K
23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,40,United-States,<=50K
24,Private,Some-college,10,Separated,Other-service,Not-in-family,40,United-States,<=50K
44,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,50,?,>50K
31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,50,United-States,<=50K
43,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,44,United-States,<=50K
20,Federal-gov,11th,7,Never-married,Other-service,Own-child,10,United-States,<=50K
55,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,56,United-States,>50K
24,Federal-gov,Some-college,10,Never-married,Armed-Forces,Not-in-family,40,United-States,<=50K
41,?,Masters,14,Married-civ-spouse,?,Wife,10,United-States,>50K
59,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,25,United-States,<=50K
49,Federal-gov,7th-8th,4,Never-married,Other-service,Not-in-family,20,United-States,<=50K
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,10,United-States,>50K
59,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,40,United-States,<=50K
34,Private,Masters,14,Never-married,Other-service,Not-in-family,40,United-States,<=50K
20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,40,United-States,<=50K
25,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,40,United-States,<=50K
49,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,40,United-States,<=50K
59,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,40,United-States,>50K
20,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,40,United-States,<=50K
51,?,Some-college,10,Married-civ-spouse,?,Wife,18,United-States,<=50K
33,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,35,United-States,<=50K
22,Private,Some-college,10,Never-married,Transport-moving,Own-child,39,United-States,<=50K
58,Self-emp-not-inc,9th,5,Widowed,Other-service,Not-in-family,40,United-States,<=50K
52,Local-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,28,United-States,<=50K
36,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,40,United-States,<=50K
41,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,40,United-States,<=50K
28,Private,HS-grad,9,Never-married,Transport-moving,Own-child,40,United-States,<=50K
19,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,16,United-States,<=50K
18,Private,HS-grad,9,Never-married,Other-service,Not-in-family,28,United-States,<=50K
18,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,48,United-States,<=50K
28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
29,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
20,?,HS-grad,9,Never-married,?,Own-child,20,United-States,<=50K
40,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,40,United-States,<=50K
46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
23,Private,11th,7,Never-married,Other-service,Not-in-family,24,United-States,<=50K
44,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,40,United-States,<=50K
43,Private,Bachelors,13,Divorced,Sales,Unmarried,40,United-States,>50K
31,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,60,United-States,<=50K
18,Private,Some-college,10,Never-married,Sales,Own-child,25,United-States,<=50K
19,Private,Some-college,10,Never-married,Protective-serv,Own-child,30,United-States,<=50K
41,Private,Some-college,10,Divorced,Tech-support,Not-in-family,40,United-States,<=50K
41,Private,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,40,United-States,<=50K
69,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,25,United-States,<=50K
48,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,40,United-States,>50K
28,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,40,United-States,<=50K
27,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,60,Ireland,>50K
41,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,50,United-States,>50K
41,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,40,United-States,<=50K
24,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,40,United-States,<=50K
20,?,HS-grad,9,Never-married,?,Not-in-family,40,United-States,<=50K
42,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,41,United-States,>50K
57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,48,United-States,<=50K
30,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,60,United-States,>50K
49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,35,United-States,<=50K
23,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,40,United-States,<=50K
46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,40,United-States,<=50K
18,Private,Some-college,10,Never-married,Adm-clerical,Own-child,22,Germany,<=50K
40,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,55,United-States,>50K
43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,45,United-States,>50K
34,Private,Masters,14,Never-married,Prof-specialty,Own-child,30,United-States,<=50K
47,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,30,United-States,<=50K
44,Private,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,30,United-States,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,40,United-States,>50K
55,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,50,United-States,>50K
19,Private,HS-grad,9,Never-married,Sales,Not-in-family,30,United-States,<=50K
28,Private,Some-college,10,Never-married,Other-service,Not-in-family,14,United-States,<=50K
27,Private,11th,7,Married-civ-spouse,Other-service,Wife,32,United-States,<=50K
50,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,20,United-States,<=50K
22,Private,11th,7,Never-married,Craft-repair,Unmarried,40,United-States,<=50K
40,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,45,United-States,>50K
25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,40,United-States,<=50K
26,Local-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,40,United-States,<=50K
22,Private,Bachelors,13,Never-married,Sales,Not-in-family,25,United-States,<=50K
42,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,40,United-States,<=50K
38,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,40,United-States,<=50K
55,Private,11th,7,Married-civ-spouse,Other-service,Husband,30,United-States,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,40,United-States,<=50K
22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,45,United-States,<=50K
29,Private,Bachelors,13,Never-married,Sales,Own-child,40,United-States,<=50K
46,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,45,United-States,>50K
31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
58,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,16,United-States,>50K
42,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,45,United-States,<=50K
18,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,25,United-States,<=50K
58,Local-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,33,United-States,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
34,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,40,United-States,<=50K
61,Private,12th,8,Married-civ-spouse,Exec-managerial,Husband,60,United-States,<=50K
48,Local-gov,Masters,14,Separated,Adm-clerical,Unmarried,40,United-States,<=50K
36,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,45,United-States,>50K
24,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,45,United-States,<=50K
40,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,37,United-States,<=50K
33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,50,United-States,>50K
37,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,>50K
34,Private,Masters,14,Never-married,Exec-managerial,Own-child,40,United-States,<=50K
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
28,?,HS-grad,9,Married-civ-spouse,?,Own-child,38,United-States,>50K
37,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,55,United-States,<=50K
44,Private,HS-grad,9,Divorced,Sales,Unmarried,40,United-States,<=50K
64,?,Some-college,10,Married-civ-spouse,?,Husband,8,United-States,<=50K
54,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,45,United-States,<=50K
23,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,50,United-States,<=50K
34,State-gov,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,40,?,<=50K
22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,45,United-States,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
39,Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,50,United-States,>50K
47,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,37,United-States,<=50K
79,?,7th-8th,4,Widowed,?,Not-in-family,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,55,United-States,<=50K
31,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,40,United-States,<=50K
44,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,45,United-States,<=50K
42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,50,United-States,>50K
19,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,40,United-States,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,>50K
51,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,40,United-States,>50K
28,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,50,United-States,<=50K
57,Private,Bachelors,13,Divorced,Craft-repair,Not-in-family,45,United-States,<=50K
45,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,40,United-States,<=50K
50,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
34,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,54,United-States,<=50K
45,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
73,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,20,United-States,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,50,United-States,>50K
31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,55,United-States,>50K
19,Private,11th,7,Never-married,Sales,Not-in-family,12,United-States,<=50K
25,Private,Some-college,10,Never-married,Other-service,Own-child,50,United-States,<=50K
38,Federal-gov,Assoc-voc,11,Divorced,Craft-repair,Unmarried,40,United-States,<=50K
39,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
23,Private,Bachelors,13,Never-married,Tech-support,Own-child,32,United-States,<=50K
49,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,<=50K
33,Federal-gov,HS-grad,9,Never-married,Other-service,Not-in-family,32,United-States,<=50K
21,Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,38,Mexico,<=50K
31,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,40,United-States,<=50K
23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,45,United-States,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,40,Philippines,<=50K
25,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,40,Philippines,<=50K
39,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,40,United-States,<=50K
52,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,40,United-States,>50K
63,Local-gov,9th,5,Married-civ-spouse,Transport-moving,Husband,40,United-States,>50K
41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
46,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,38,United-States,>50K
53,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,40,United-States,<=50K
25,?,9th,5,Separated,?,Not-in-family,40,United-States,<=50K
77,?,Some-college,10,Married-civ-spouse,?,Husband,35,United-States,<=50K
18,Private,12th,8,Never-married,Priv-house-serv,Own-child,40,United-States,<=50K
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,50,United-States,<=50K
55,Private,Masters,14,Never-married,Exec-managerial,Unmarried,50,Thailand,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,40,United-States,>50K
80,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,30,United-States,<=50K
34,Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,60,United-States,<=50K
52,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,40,United-States,<=50K
42,Private,HS-grad,9,Never-married,Other-service,Unmarried,28,Haiti,<=50K
26,Private,Some-college,10,Never-married,Sales,Not-in-family,40,United-States,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
25,Local-gov,HS-grad,9,Never-married,Other-service,Own-child,35,United-States,<=50K
55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,60,United-States,<=50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,12,United-States,<=50K
62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,32,United-States,<=50K
22,Federal-gov,Some-college,10,Never-married,Adm-clerical,Own-child,20,United-States,<=50K
39,?,HS-grad,9,Married-civ-spouse,?,Wife,50,United-States,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,40,United-States,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,70,United-States,>50K
44,State-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,<=50K
21,Private,Some-college,10,Never-married,Sales,Own-child,15,United-States,<=50K
35,Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,50,United-States,<=50K
24,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
42,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,40,?,<=50K
28,Private,Bachelors,13,Never-married,Tech-support,Own-child,50,United-States,<=50K
21,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,35,United-States,<=50K
62,Federal-gov,Some-college,10,Divorced,Tech-support,Not-in-family,40,United-States,<=50K
39,Private,HS-grad,9,Never-married,Other-service,Not-in-family,40,United-States,<=50K
30,State-gov,HS-grad,9,Never-married,Other-service,Not-in-family,40,United-States,<=50K
72,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,20,United-States,<=50K
50,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,50,United-States,<=50K
28,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
29,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
26,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,40,United-States,<=50K
27,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,40,United-States,<=50K
29,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,>50K
61,?,HS-grad,9,Married-civ-spouse,?,Husband,40,United-States,<=50K
29,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,25,United-States,<=50K
21,?,Some-college,10,Never-married,?,Own-child,30,United-States,<=50K
31,Private,11th,7,Married-civ-spouse,Sales,Wife,20,United-States,<=50K
25,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,75,United-States,<=50K
58,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,40,United-States,>50K
64,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,40,United-States,>50K
46,State-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,38,United-States,<=50K
53,?,HS-grad,9,Married-civ-spouse,?,Husband,35,United-States,>50K
19,Private,HS-grad,9,Never-married,Other-service,Own-child,35,United-States,<=50K
42,Private,HS-grad,9,Divorced,Other-service,Not-in-family,52,United-States,<=50K
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,24,United-States,<=50K
58,Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,50,United-States,>50K
20,Private,Some-college,10,Never-married,Protective-serv,Not-in-family,60,United-States,<=50K
35,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,>50K
32,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,38,United-States,>50K
23,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,25,United-States,<=50K
31,Private,Some-college,10,Divorced,Tech-support,Unmarried,40,United-States,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,55,United-States,<=50K
41,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,48,United-States,<=50K
22,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,40,United-States,<=50K
46,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,40,United-States,>50K
61,Federal-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
30,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,40,United-States,<=50K
42,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,55,United-States,>50K
63,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
26,Private,Some-college,10,Married-civ-spouse,Sales,Husband,40,United-States,<=50K
42,Private,10th,6,Divorced,Adm-clerical,Unmarried,40,United-States,<=50K
23,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,40,United-States,<=50K
25,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,40,United-States,<=50K
30,Private,9th,5,Married-civ-spouse,Other-service,Husband,32,El-Salvador,>50K
23,Private,HS-grad,9,Never-married,Sales,Own-child,40,United-States,<=50K
34,Self-emp-not-inc,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,60,United-States,>50K
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Other-relative,48,United-States,<=50K
39,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,40,United-States,>50K
30,Private,11th,7,Never-married,Handlers-cleaners,Other-relative,38,Puerto-Rico,<=50K
38,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,38,United-States,<=50K
26,Private,HS-grad,9,Divorced,Exec-managerial,Own-child,40,United-States,<=50K
20,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,16,United-States,<=50K
37,Local-gov,Bachelors,13,Never-married,Prof-specialty,Unmarried,40,?,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,40,United-States,<=50K
24,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,40,United-States,<=50K
42,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,60,United-States,>50K
51,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,84,Vietnam,<=50K
56,Local-gov,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,45,United-States,>50K
22,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,40,United-States,<=50K
52,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,60,United-States,<=50K
44,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,45,United-States,>50K
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,35,United-States,<=50K
51,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,42,United-States,>50K
